# Decadal averaged CFA data for NEEM
# 
# Columns:
# Age_BP : Age of the middle of the sampling interval in years BP (before 1950) on the GICC05 age scale for NEEM (see reference)
# Na : Concentration of Na+ ions in (ng/g)
# Ca : Concentration of Ca++ ions in (ng/g)
#
Age_BP,Na,Ca
17685.00000,89.89536,235.51492
17695.00000,102.46391,259.48835
17705.00000,77.47826,183.89623
17715.00000,90.96419,209.20400
17725.00000,92.34116,195.46807
17735.00000,69.79214,178.08446
17745.00000,99.40539,188.18975
17755.00000,88.87364,215.76533
17765.00000,83.75267,179.04420
17775.00000,108.16184,191.42400
17785.00000,73.40962,176.93806
17795.00000,171.30969,248.27101
17805.00000,97.93593,185.60859
17815.00000,137.49791,227.51272
17825.00000,98.59528,160.26063
17835.00000,74.14854,128.47717
17845.00000,100.28382,161.39036
17855.00000,112.93497,165.78298
17865.00000,49.58094,302.90056
17875.00000,64.23401,272.56494
17885.00000,88.98697,327.09986
17895.00000,99.26232,357.40507
17905.00000,41.37865,238.68900
17915.00000,106.22704,327.08245
17925.00000,77.07487,248.51564
17935.00000,133.34556,330.32412
17945.00000,70.08329,280.97822
17955.00000,108.33247,275.52627
17965.00000,104.54453,304.93282
17975.00000,105.66774,299.39651
17985.00000,100.95404,299.03170
17995.00000,103.88789,299.17122
18005.00000,107.04906,325.39077
18015.00000,101.38623,267.46295
18025.00000,78.42634,209.48827
18035.00000,84.42380,230.16058
18045.00000,137.98056,270.44667
18055.00000,120.55595,309.29903
18065.00000,126.22429,300.09500
18075.00000,140.09068,351.63058
18085.00000,89.40203,281.15323
18095.00000,97.00165,238.62212
18105.00000,116.82156,269.62698
18115.00000,103.88153,226.80653
18125.00000,149.54329,388.84723
18135.00000,127.75285,244.39125
18145.00000,111.52085,211.93575
18155.00000,101.46008,228.31228
18165.00000,166.12162,305.41683
18175.00000,133.03520,205.86280
18185.00000,110.80510,225.95434
18195.00000,96.88584,208.48231
18205.00000,68.59153,178.22204
18215.00000,114.58558,220.72960
18225.00000,77.73014,206.36325
18235.00000,91.09658,213.31209
18245.00000,71.44827,182.83788
18255.00000,88.56336,236.39774
18265.00000,80.87893,213.12020
18275.00000,78.84209,231.54851
18285.00000,70.88082,271.00354
18295.00000,55.38386,196.00974
18305.00000,99.88267,311.81214
18315.00000,87.75390,233.44725
18325.00000,57.56150,183.90389
18335.00000,108.74157,246.55059
18345.00000,83.28638,251.92115
18355.00000,76.77472,196.63693
18365.00000,137.10998,266.93409
18375.00000,108.74641,268.21531
18385.00000,117.76185,297.28516
18395.00000,62.64237,196.35541
18405.00000,100.57069,312.32448
