# Decadal averaged CFA, water isotope and layerthickness data for NGRIP
# 
# Columns:
# Age_BP : Age of the middle of the sampling interval in years BP on the GICC05 age scale for NGRIP (see reference)
# Na : Concentration of Na+ ions in (ng/g), measured by continuous flow analysis
# Ca : Concentration of Ca++ ions in (ng/g), measured by continuous flow analysis
# lt : Annual layerthickness in (m) as calculated from the age model (see reference)
# d18O : Water isotopic composition in permille relative to VSMOW (see references)
#
# For age model see:
# Svensson, Anders, K K Andersen, Matthias Bigler, H B Clausen, Dorthe Dahl-Jensen, S M Davies, Sigfus J Johnsen, et al. 2008. “A 60 000 Year Greenland Stratigraphic Ice Core Chronology.” Climate of the Past 4 (1): 47–57. doi:10.5194/cp-4-47-2008.
# 
# For water isotope data see:
# NGRIP members. 2004. “High-Resolution Record of Northern Hemisphere Climate Extending into the Last Interglacial Period.” Nature 431 (7005): 147–51. doi:10.1038/nature02805.
# Gkinis, V, S B Simonsen, S L Buchardt, James W C White, and Bo M Vinther. 2014. “Water Isotope Diffusion Rates from the NorthGRIP Ice Core for the Last 16,000 Years - Glaciological and Paleoclimatic Implications.” Earth and Planetary Science Letters 405 (C). 132–41. doi:10.1016/j.epsl.2014.08.022.
#

Age_BP,Na,Ca,lt,d18O
12265.00000,38.31102,134.09086,0.02680,-40.75000
12275.00000,55.93126,193.53570,0.02550,-39.70800
12285.00000,41.08176,184.96531,0.02360,-42.18600
12295.00000,54.56152,196.92469,0.03210,-41.90667
12305.00000,48.63385,233.37548,0.02390,-41.43800
12315.00000,61.86622,158.14924,0.02140,-40.77800
12325.00000,40.71785,95.02980,0.02740,-41.78200
12335.00000,50.95709,113.82892,0.02820,-41.07833
12345.00000,71.10993,170.88810,0.03010,-40.32833
12355.00000,56.06725,145.61113,0.02770,-41.45200
12365.00000,58.54292,123.25734,0.02640,-40.92800
12375.00000,53.52992,121.83005,0.03280,-41.89286
12385.00000,31.80571,80.67778,0.02790,-39.43500
12395.00000,55.54187,121.57359,0.03610,-42.23286
12405.00000,43.62761,143.91680,0.02840,-41.04667
12415.00000,51.59975,129.00184,0.02710,-40.45400
12425.00000,47.68474,146.55175,0.02820,-40.08333
12435.00000,56.83056,158.34665,0.02590,-41.65600
12445.00000,57.85304,178.37564,0.02580,-41.82000
12455.00000,64.24731,174.95815,0.03120,-40.53667
12465.00000,54.60506,187.68053,0.02590,-40.51600
12475.00000,56.54500,160.03669,0.02610,-38.40500
12485.00000,56.41926,229.41802,0.02720,-39.76800
12495.00000,50.84432,216.58217,0.02620,-39.04200
12505.00000,59.43710,231.85246,0.02540,-43.22000
12515.00000,58.40550,173.59904,0.02200,-41.37800
12525.00000,64.73799,207.47719,0.03460,-39.90857
12535.00000,57.04786,190.61822,0.02570,-41.35400
12545.00000,54.47937,212.63531,0.02220,-41.80000
12555.00000,59.30690,294.25214,0.02350,-42.51000
12565.00000,66.46945,256.62868,0.02190,-42.94500
12575.00000,43.98112,266.17218,0.02340,-40.81000
12585.00000,32.45925,239.98158,0.02750,-40.28000
12595.00000,100.12363,396.71718,0.02890,-42.19833
12605.00000,61.45266,160.62906,0.03130,-41.71857
12615.00000,53.85597,149.12865,0.02780,-40.97800
12625.00000,54.95296,166.57976,0.02620,-40.35400
12635.00000,65.94811,229.89644,0.02760,-41.79333
12645.00000,72.68376,216.40752,0.02750,-42.88600
12655.00000,77.17020,234.81685,0.03260,-41.77714
12665.00000,68.06138,181.42154,0.02930,-42.06833
12675.00000,63.17512,175.42266,0.03340,-42.82833
12685.00000,63.16562,286.39803,0.02700,-40.87167
12695.00000,49.49426,146.95904,0.02720,-40.67600
12705.00000,90.90052,204.32565,0.02710,-41.00500
12715.00000,84.32290,145.85679,0.02800,-40.11600
12725.00000,69.11009,113.45968,0.02760,-39.76000
12735.00000,36.97942,113.66819,0.02660,-39.86600
12745.00000,41.72793,98.68991,0.02640,-40.53000
12755.00000,34.27117,86.20248,0.02690,-38.75667
12765.00000,35.67862,82.64157,0.03040,-41.92000
12775.00000,41.07599,85.66250,0.03080,-40.70833
12785.00000,33.05238,90.46948,0.03760,-39.07000
12795.00000,30.34719,42.35961,0.03340,-39.41500
12805.00000,27.91319,38.19277,0.02670,-38.85333
12815.00000,24.82761,38.31489,0.02890,-39.67400
